model,feature_set,threshold,roc_auc,pr_auc,f1,precision,recall
Logistic Regression,Utility + Weather,Top 20%,0.6681,0.3249,0.4456,0.3413,0.6418
Extra Trees,Utility + Weather,Top 20%,0.6857,0.2951,0.4279,0.3209,0.6418
Random Forest,Utility + Weather,Top 20%,0.6772,0.2864,0.4236,0.3162,0.6418
Decision Tree,Utility + Weather,Top 20%,0.6721,0.2834,0.4195,0.3116,0.6418
XGBoost,Utility + Weather,Top 20%,0.6688,0.2802,0.4195,0.3116,0.6418
LightGBM,Utility + Weather,Top 20%,0.6692,0.2801,0.4195,0.3116,0.6418
HistGradientBoosting,Utility + Weather,Top 20%,0.6681,0.2799,0.0263,0.1111,0.0149
Extra Trees,Utility + Weather,Top 10%,0.7718,0.2606,0.3099,0.2037,0.6471
Logistic Regression,Utility + Weather,Top 10%,0.7033,0.2503,0.2981,0.189,0.7059
Random Forest,Utility + Weather,Top 10%,0.7622,0.2157,0.3057,0.1951,0.7059
XGBoost,Utility + Weather,Top 10%,0.7588,0.2129,0.3077,0.2727,0.3529
HistGradientBoosting,Utility + Weather,Top 10%,0.7586,0.2129,0.0,0.0,0.0
LightGBM,Utility + Weather,Top 10%,0.7588,0.2129,0.3077,0.2727,0.3529
Decision Tree,Utility + Weather,Top 10%,0.7535,0.211,0.2976,0.1866,0.7353
XGBoost,Utility Only,Top 20%,0.5,0.1994,0.3325,0.1994,1.0
HistGradientBoosting,Utility Only,Top 20%,0.5,0.1994,0.0,0.0,0.0
Decision Tree,Utility Only,Top 20%,0.5,0.1994,0.0,0.0,0.0
Logistic Regression,Utility Only,Top 20%,0.5,0.1994,0.0,0.0,0.0
Extra Trees,Utility Only,Top 20%,0.5,0.1994,0.0,0.0,0.0
Random Forest,Utility Only,Top 20%,0.5,0.1994,0.3325,0.1994,1.0
LightGBM,Utility Only,Top 20%,0.5,0.1994,0.0,0.0,0.0
XGBoost,Utility Only,Top 10%,0.5,0.1012,0.0,0.0,0.0
LightGBM,Utility Only,Top 10%,0.5,0.1012,0.0,0.0,0.0
HistGradientBoosting,Utility Only,Top 10%,0.5,0.1012,0.0,0.0,0.0
Logistic Regression,Utility Only,Top 10%,0.5,0.1012,0.0,0.0,0.0
Decision Tree,Utility Only,Top 10%,0.5,0.1012,0.1838,0.1012,1.0
Random Forest,Utility Only,Top 10%,0.5,0.1012,0.0,0.0,0.0
Extra Trees,Utility Only,Top 10%,0.5,0.1012,0.1838,0.1012,1.0
